Address,Team,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c,blueBans,Rumble,Kassadin,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30054?gameHash=055b17da8456fdc8,blueBans,Kassadin,Sivir,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30067?gameHash=8e8a9b58df366e2d,blueBans,JarvanIV,Lissandra,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30091?gameHash=0ed1cd0e0e57329c,blueBans,Annie,Lissandra,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30105?gameHash=f932becf86175f38,blueBans,Irelia,Pantheon,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30131?gameHash=194c672d7969984f,blueBans,LeeSin,Rumble,Janna,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30133?gameHash=2a7ecaf7380e9d89,blueBans,Zed,Sivir,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30149?gameHash=c1678fe8c1106f56,blueBans,Lissandra,Janna,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30161?gameHash=23bade11cbfc3da3,blueBans,JarvanIV,Gnar,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30172?gameHash=bb82a23d050613d1,blueBans,Rumble,Janna,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000016?gameHash=e8fbe00273df6ede,blueBans,Irelia,Annie,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000017?gameHash=00a7858e986c8d87,blueBans,Janna,Rumble,,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000029?gameHash=0a0ecdfbe1497be1,blueBans,Azir,Lulu,Cassiopeia,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000044?gameHash=7a7bb445d18d9d78,blueBans,Azir,Kassadin,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000054?gameHash=205d8eb5a6029a26,blueBans,Kassadin,Sivir,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010082?gameHash=526656c79ac5b9d1,blueBans,Annie,Kassadin,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010089?gameHash=a196e7371aa0a23c,blueBans,Kalista,Lissandra,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010098?gameHash=9e3a93e956d7732b,blueBans,Cassiopeia,Annie,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010106?gameHash=4ee943c3b28c3680,blueBans,Irelia,Jax,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010113?gameHash=27b78c313c1137d7,blueBans,Zed,Azir,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020025?gameHash=ff41aed69d32573b,blueBans,Leblanc,Xerath,Azir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56,blueBans,Nidalee,Leblanc,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,blueBans,Rumble,Kassadin,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,blueBans,Irelia,Ahri,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,blueBans,Kalista,Annie,Blitzcrank,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,blueBans,Ahri,Irelia,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7,blueBans,Kassadin,JarvanIV,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c,blueBans,Thresh,Irelia,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,blueBans,Zed,Janna,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,blueBans,Rumble,Leblanc,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,blueBans,Vi,Lissandra,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,blueBans,LeeSin,Nidalee,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3,blueBans,Lissandra,Rumble,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3,blueBans,Annie,Janna,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,blueBans,Ahri,Leblanc,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,blueBans,Kalista,Nidalee,Rumble,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,blueBans,Irelia,Kassadin,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,blueBans,Xerath,Leblanc,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,blueBans,Nidalee,Ahri,Leblanc,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,blueBans,Irelia,Nidalee,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,blueBans,Kalista,Zed,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a,blueBans,Vi,Zed,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc,blueBans,Morgana,Kassadin,Kennen,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9,blueBans,Kalista,Nidalee,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,blueBans,Irelia,Morgana,JarvanIV,,
