League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
NALCS,2015,Spring,Season,TSM,1,0,C9,40,Dyrus,Irelia,Santorin,RekSai,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Balls,Gnar,Meteos,Elise,Hai,Fizz,Sneaky,Sivir,LemonNation,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30030?gameHash=fbb300951ad8327c
NALCS,2015,Spring,Season,CST,0,1,DIG,38,Cris,Gnar,Impaler,Rengar,Jesiz,Ahri,Mash,Caitlyn,Sheep,Leona,Gamsu,Irelia,Crumbzz,JarvanIV,Shiphtur,Azir,CoreJJ,Corki,KiWiKiD,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30054?gameHash=055b17da8456fdc8
NALCS,2015,Spring,Season,WFX,1,0,GV,40,Flaresz,Renekton,ShorterACE,Rengar,Pobelter,Fizz,Altec,Sivir,Gleeb,Annie,Hauntzer,Sion,Saintvicious,LeeSin,Keane,Azir,Cop,Corki,BunnyFuFuu,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30067?gameHash=8e8a9b58df366e2d
NALCS,2015,Spring,Season,TIP,0,1,TL,41,Rhux,Irelia,Rush,JarvanIV,XiaoWeiXiao,Leblanc,Apollo,Sivir,Adrian,Thresh,Quas,Gnar,IWDominate,Nunu,Fenix,Lulu,KEITH,KogMaw,Xpecial,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30091?gameHash=0ed1cd0e0e57329c
NALCS,2015,Spring,Season,CLG,1,0,T8,35,Benny,Gnar,Xmithie,JarvanIV,Link,Lissandra,Doublelift,Tristana,aphromoo,Janna,CaliTrlolz8,Sion,Porpoise8,RekSai,Slooshi8,Lulu,Maplestreet8,Corki,Dodo8,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30105?gameHash=f932becf86175f38
NALCS,2015,Spring,Season,DIG,0,1,TIP,24,Gamsu,Kassadin,Crumbzz,Rengar,Shiphtur,Leblanc,CoreJJ,Sivir,KiWiKiD,Annie,Rhux,Gnar,Rush,JarvanIV,XiaoWeiXiao,Lulu,Apollo,Corki,Adrian,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30131?gameHash=194c672d7969984f
NALCS,2015,Spring,Season,CST,1,0,WFX,39,Cris,Irelia,Impaler,JarvanIV,Jesiz,Xerath,Mash,Corki,Sheep,Janna,Flaresz,Renekton,ShorterACE,LeeSin,Pobelter,Leblanc,Altec,Tristana,Gleeb,Nami,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30133?gameHash=2a7ecaf7380e9d89
NALCS,2015,Spring,Season,TL,1,0,CLG,43,Quas,Renekton,IWDominate,JarvanIV,FeniX,Azir,KEITH,Caitlyn,Xpecial,Annie,Benny,Rumble,Xmithie,Rengar,Link,Leblanc,Doublelift,Sivir,Aphromoo,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30149?gameHash=c1678fe8c1106f56
NALCS,2015,Spring,Season,C9,0,1,GV,41,Balls,Sion,Meteos,RekSai,Hai,Orianna,Sneaky,KogMaw,LemonNation,Janna,Hauntzer,Kassadin,Saintvicious,Vi,Keane,Zed,Cop,Corki,Bunny FuFuu,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30161?gameHash=23bade11cbfc3da3
NALCS,2015,Spring,Season,T8,1,0,TSM,32,CaliTrlolz8,Irelia,Porpoise8,Nocturne,Slooshi8,Orianna,Maplestreet8,Sivir,Dodo8,Nami,Dyrus,Gnar,Santorin,Rengar,Bjergsen,Leblanc,WildTurtle,Graves,Lustboy,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30172?gameHash=bb82a23d050613d1
NALCS,2015,Spring,Season,GV,1,0,DIG,52,Hauntzer,Gnar,Saintvicious,JarvanIV,Keane,Azir,Cop,Corki,Bunny FuFuu,Morgana,Gamsu,Lulu,Crumbzz,LeeSin,Shiphtur,Xerath,CoreJJ,Ezreal,KiWiKiD,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000016?gameHash=e8fbe00273df6ede
NALCS,2015,Spring,Season,T8,1,0,CST,46,CaliTrlolz8,Jax,Porpoise8,JarvanIV,Slooshi8,Kassadin,Maplestreet8,Graves,Dodo8,Morgana,Cris,Gnar,Impaler,RekSai,Jesiz,Ahri,Mash,Corki,Sheep,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000017?gameHash=00a7858e986c8d87
NALCS,2015,Spring,Season,C9,1,0,TL,38,Balls,Irelia,Meteos,Vi,Hai,Lissandra,Sneaky,Kalista,LemonNation,Annie,Quas,Gnar,IWDominate,JarvanIV,FeniX,Ahri,Piglet,Sivir,Xpecial,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000029?gameHash=0a0ecdfbe1497be1
NALCS,2015,Spring,Season,TIP,0,1,CLG,31,Impact,Lulu,Rush,LeeSin,XiaoWeiXiao,Xerath,Apollo,Corki,Adrian,Janna,ZionSpartan,Sion,Xmithie,JarvanIV,Link,Cassiopeia,Doublelift,Kalista,Aphromoo,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000044?gameHash=7a7bb445d18d9d78
NALCS,2015,Spring,Season,TSM,1,0,WFX,33,Dyrus,Maokai,Santorin,JarvanIV,Bjergsen,Leblanc,WildTurtle,Kalista,Lustboy,Annie,Avalon,Lulu,Helios,Rengar,Pobelter,Morgana,Altec,Tristana,Gleeb,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000054?gameHash=205d8eb5a6029a26
NALCS,2015,Spring,Season,CLG,1,0,C9,38,ZionSpartan,Rumble,Xmithie,Vi,Link,Zed,Doublelift,Caitlyn,Aphromoo,Morgana,Balls,Gnar,Meteos,RekSai,Hai,Leblanc,Sneaky,Corki,LemonNation,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010082?gameHash=526656c79ac5b9d1
NALCS,2015,Spring,Season,DIG,0,1,WFX,40,Gamsu,Gnar,Crumbzz,JarvanIV,Shiphtur,Azir,CoreJJ,KogMaw,KiWiKiD,Nami,Avalon,Maokai,Helios,LeeSin,Pobelter,Zed,Altec,Sivir,Gleeb,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010089?gameHash=a196e7371aa0a23c
NALCS,2015,Spring,Season,TSM,1,0,TL,39,Dyrus,Lissandra,Santorin,JarvanIV,Bjergsen,Xerath,WildTurtle,Tristana,Lustboy,Morgana,Quas,Gnar,IWDominate,Nunu,FeniX,Ahri,Piglet,Caitlyn,Xpecial,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010098?gameHash=9e3a93e956d7732b
